pulse_index,pulseSigma_s,attenuation_index,attenuation,ampIf,I1,Q1,P1,I2,Q2,P2,PCorr,STD_I1,STD_Q1,STD_P1,STD_I2,STD_Q2,STD_P2,STD_PCorr
0,2e-08,17,10.445236921428332,0.3011397944254569,0.00043867002766624153,0.00041891522100931676,0.001188718719469118,0.00048310702720595524,0.00016581288482450722,0.0017838271622467841,9.376125287576205e-05,9.528854338111927e-05,9.515393417475563e-05,4.623791078136614e-06,0.00011680994118788056,0.00011650139795727034,6.954269260373465e-06,3.981864470954519e-06
0,2e-08,18,10.6976072666582,0.2925160042320327,0.00010029695955469913,-0.0002564192044325086,0.0011910702538394532,0.00014559730413992654,-0.0002501084907890781,0.0017851354634678517,9.983089986356737e-05,9.525076646128024e-05,9.540341232417401e-05,4.620799065983901e-06,0.00011697360787914659,0.00011643444855467412,6.972179530070244e-06,4.014304288904252e-06
0,2e-08,19,10.957530276671385,0.2838922140386086,7.656384193532783e-05,-0.0006361947020433696,0.0011827055229371682,-7.442062617778452e-05,-0.0005592405399060719,0.0017887788876229296,0.00010978828640992765,9.475643937247209e-05,9.519969761701569e-05,4.568170577388971e-06,0.00011681642800370289,0.00011681501350187576,6.9046071168330585e-06,3.990884705019151e-06
0,2e-08,20,11.225471990265767,0.2752684238451844,1.5324127295365083e-05,-0.0010081096407463673,0.001187505883502617,5.8866291198334965e-05,-0.0008082414895858809,0.0017827615161822336,0.00010292840381968512,9.491726548064566e-05,9.537549475072632e-05,4.648286760317417e-06,0.00011663723942475978,0.00011657868741689567,6.970912776578577e-06,3.9913133141179765e-06
0,2e-08,21,11.5019429587431,0.2666446336517603,-5.4377247314010455e-05,-0.0013070912000146477,0.0011890282622283078,-7.336353348135791e-05,-0.00125394941320005,0.0017862628712938555,0.00010235350428755409,9.514336240807688e-05,9.521627901320027e-05,4.559409240196342e-06,0.00011705174086671067,0.00011633185827063139,7.001088273698804e-06,4.001899275326788e-06
0,2e-08,22,11.787504101511022,0.2580208434583361,-0.00028043079430001896,-0.0021201324170966244,0.0011917585393244352,-7.77474172794167e-05,-0.001631762825152483,0.0017959632257580581,0.00010967411310195611,9.488453677185405e-05,9.546366521006271e-05,4.626288792582276e-06,0.0001172579528954048,0.00011668831685251095,6.9660847981384715e-06,4.022724987770444e-06
0,2e-08,23,12.082773557401786,0.24939705326491188,-0.0002758986304772458,-0.0022709116987807932,0.0011816845511238327,-0.00022407599340376594,-0.0022230503256740817,0.0017769709499375341,0.00010066181798095233,9.486886153384314e-05,9.461761149446699e-05,4.587241415063605e-06,0.00011579442224076345,0.000116756007666703,6.907225891111462e-06,3.961555048807966e-06
0,2e-08,24,12.388434742062973,0.24077326307148772,-0.0003968128199379168,-0.002692719582267157,0.0011832771435884208,-0.00030848063149716687,-0.0025765648717859194,0.0017697602070757578,9.063697421458916e-05,9.479678732831853e-05,9.464287768462435e-05,4.5869551661972525e-06,0.00011613858379209585,0.00011582542590754668,6.870169096345867e-06,3.9791395549508824e-06
0,2e-08,25,12.70524587551948,0.23214947287806353,-0.0003872670791522032,-0.0030086191055140816,0.0011838675512078657,-0.0005205142353224663,-0.0028190574168371393,0.0017851114134640688,0.00010123457167041457,9.468270889891925e-05,9.466007440269325e-05,4.613479141573775e-06,0.00011670286195256234,0.00011617121944233668,6.95111680425914e-06,3.9703687089638936e-06
0,2e-08,26,13.03405131403984,0.22352568268463938,-0.0006653082388194052,-0.0033521798507498354,0.0011805165796177765,-0.00040743412782413905,-0.0033836696519512857,0.001783037958942542,9.911748365025321e-05,9.487295219714501e-05,9.399743858893099e-05,4.5624562555479644e-06,0.00011650355174431642,0.00011601185571245749,6.977788768898998e-06,3.974747161842468e-06
